pcn_code,EMIS,EMIS (I),TPP,VISION,ICB
U52219,78,0,390,0,03K
U52261,143,0,325,0,78H
U52297,546,0,0,0,00P
U52461,624,0,0,0,93C
U52468,234,0,0,0,06T
U52546,312,0,0,0,36L
U52641,234,0,0,0,A3A8R
U52694,0,0,312,0,70F
U52763,0,0,156,0,07K
U52802,0,0,156,0,71E
U52814,234,0,0,0,36L
U52827,0,0,312,0,99G
U52868,390,0,0,0,97R
U52875,0,0,273,0,M1J4Y
U52891,455,0,0,0,99A
U52997,0,0,1014,0,06L
U53179,0,0,312,0,11M
U53230,702,0,0,0,99A
U53279,0,0,312,0,02T
U53317,312,0,0,0,92A
U53419,0,0,377,0,78H
U53562,78,0,702,0,W2U3Z
U53612,312,0,0,0,06N
U53637,0,0,156,0,15M
U53775,78,0,0,0,14Y
U53896,702,0,0,0,72Q
U53900,468,0,0,0,01Y
U53962,0,0,325,0,84H
U53963,0,0,624,0,52R
U53997,65,0,247,0,D9Y0V
U53999,0,0,858,0,15M
U54007,390,0,0,0,93C
U54044,78,0,507,0,D2P2L
U54229,234,0,0,0,15E
U54308,234,0,156,0,09D
U54372,0,0,546,0,X2C4Y
U54453,312,0,0,0,A3A8R
U54554,234,0,0,0,15E
U54565,312,0,0,0,B2M3M
U54760,312,0,234,0,97R
U54764,0,0,468,0,04C
U54853,0,0,546,0,02X
U54911,1014,0,0,0,99A
U54948,702,0,0,0,15E
U55014,234,0,156,0,09D
U55146,0,0,702,0,99E
U55161,468,0,0,0,01D
U55369,0,0,234,0,06H
U55387,780,0,0,0,A3A8R
U55397,0,0,234,0,15N
U55399,234,0,0,0,15N
U55441,468,0,0,0,D2P2L
U55709,390,0,0,0,93C
U55717,0,0,390,0,W2U3Z
U55724,546,0,0,0,B2M3M
U55812,0,0,156,0,06K
U55830,0,0,546,0,16C
U55939,1092,0,0,0,A3A8R
U55979,0,0,546,0,92G
U56140,0,0,78,0,D9Y0V
U56174,468,0,0,0,15E
U56215,156,0,234,0,71E
U56223,0,0,156,0,02Y
U56341,78,0,468,0,W2U3Z
U56562,0,0,78,0,03Q
U56575,312,0,0,0,D4U1Y
U56676,0,0,468,0,07H
U56681,234,0,0,0,A3A8R
U56729,624,0,0,0,05Q
U56757,234,0,0,0,91Q
U56857,312,0,0,0,01W
U56977,0,0,468,0,42D
U57009,0,0,312,0,42D
U57096,494,0,0,0,00X
U57294,234,0,0,0,D2P2L
U57300,234,0,0,0,92A
U57321,312,0,0,0,10Q
U57426,312,0,0,0,91Q
U57480,1274,0,0,0,99A
U57586,546,0,0,0,W2U3Z
U57641,1170,0,234,0,05D
